League		    Home Team	Away Team	Result	home_chance	draw_chance	away_chance	all_chance	home_odds	draw_odds	away_odds		
English PL	1	Brentford	Bournemouth					0					
	2	Burnley	Everton		20	25	55	100					
	3	West Ham	Fulham		65	25	10	100					
	4	Sunderland	Leeds					0					
	5	Crystal Palace	Tottenham					0					
Sottish PL	6	Dundee FC	Falkirk					0					
Italy Serie A	7	Udinese	Lazio					0					
	8	Atalanta	Inter					0					
Italy Serie B	9	Bari	Avellino					0					
AFCON	10	UG	TZ					0					
	11	Nigeria	Tunisia					0					
	12	Gabon	Mozambique					0					
	13	Equatorial Guinea	Sudan					0					
	14	Algeria	B.Faso					0					
	15	Ivory Coast	Cameroon					0					
Belgium Pro-L	16	Mechelen	Dender					0					
	17	Gent	Westerlo					0					
Portugal Pro-L	18	Arouca	Gil Vicente					0					
	19	Casa Pia	Guimaraes					0					
	20	Braga	Benfica					0					
